benchmark,backbone,backbone_short,seed,config,qz_sweep,qz_run_id,lr,init_lr,gamma,hidden_dim,batch_size,init_batch_size,buffer_batch,avg_acc,avg_inc_acc,bwt,task0_final,collapsed
vtab,dinov3_vitb16,v3-B/16,31337,paperhp,dinov3_min_remaining,f1befbc81767,0.0001,0.001,75,384,256,256,1000,95.17,97.08,-0.028,94.26,False
vtab,dinov3_vith16,v3-H/16,7,paperhp,all_classes_min_dinov3h_sweep,8a0c2392da30,5e-05,0.001,25,192,64,64,256,39.48,61.88,-0.4466,27.43,True
vtab,dinov3_vith16,v3-H/16,42,paperhp,all_classes_min_dinov3h_sweep,8a0c2392da30,5e-05,0.001,25,192,64,64,256,81.61,90.99,-0.1105,77.1,False
vtab,dinov3_vith16,v3-H/16,1993,paperhp,all_classes_min_dinov3h_sweep,8a0c2392da30,5e-05,0.001,25,192,64,64,256,70.68,82.76,-0.2018,75.74,False
vtab,dinov3_vith16,v3-H/16,2024,paperhp,all_classes_min_dinov3h_sweep,8a0c2392da30,5e-05,0.001,25,192,64,64,256,38.23,64.79,-0.343,59.45,True
vtab,dinov3_vith16,v3-H/16,31337,paperhp,all_classes_min_dinov3h_sweep,8a0c2392da30,5e-05,0.001,25,192,64,64,256,27.85,54.21,-0.22,50.14,True
vtab,dinov3_vitl16,v3-L/16,7,paperhp,all_classes_min_dinov3l,40ff06a85884,5e-05,0.001,75,192,128,128,500,95.64,97.29,-0.0288,93.3,False
vtab,dinov3_vitl16,v3-L/16,42,paperhp,all_classes_min_dinov3l,40ff06a85884,5e-05,0.001,75,192,128,128,500,94.96,97.91,-0.0308,95.34,False
vtab,dinov3_vitl16,v3-L/16,1993,paperhp,all_classes_min_dinov3l,40ff06a85884,5e-05,0.001,75,192,128,128,500,94.94,96.88,-0.0261,96.74,False
vtab,dinov3_vitl16,v3-L/16,2024,paperhp,all_classes_min_dinov3l,40ff06a85884,5e-05,0.001,75,192,128,128,500,92.67,96.39,-0.0449,94.63,False
vtab,dinov3_vitl16,v3-L/16,31337,paperhp,all_classes_min_dinov3l,40ff06a85884,5e-05,0.001,75,192,128,128,500,94.56,96.98,-0.0315,95.53,False
